timestamp,altitude,cadence,distance,speed,power,temperature
2023-09-12T10:45:47,1457.4,,19770.68,13.1,0,25
2023-09-12T10:45:48,1457.4,,19775.71,18.072,0,25
2023-09-12T10:45:49,1457.4,40,19781.76,21.834,35,25
2023-09-12T10:45:50,1457.4,40,19788.6,24.588,43,25
2023-09-12T10:45:51,1457.4,48,19795.4,24.487,43,25
2023-09-12T10:45:52,1457.6,51,19802.36,25.06,57,25
2023-09-12T10:45:53,1457.6,52,19809.42,25.394,87,25
2023-09-12T10:45:54,1457.6,54,19816.6,25.866,78,25
2023-09-12T10:45:55,1457.6,55,19823.97,26.503,93,25
2023-09-12T10:45:56,1457.8,55,19831.47,27.04,96,25
2023-09-12T10:45:57,1457.8,56,19839.14,27.576,96,25
2023-09-12T10:45:58,1457.8,56,19846.95,28.148,100,25
2023-09-12T10:45:59,1457.8,59,19854.91,28.652,100,25
2023-09-12T10:46:00,1457.8,61,19863.02,29.189,89,25
2023-09-12T10:46:01,1457.8,62,19871.25,29.66,110,25
2023-09-12T10:46:02,1457.8,63,19879.73,30.499,101,25
2023-09-12T10:46:03,1457.8,64,19888.29,30.838,95,25
2023-09-12T10:46:04,1457.8,65,19897.03,31.442,99,25
2023-09-12T10:46:05,1457.8,66,19905.84,31.745,91,25
2023-09-12T10:46:06,1457.6,67,19914.85,32.382,88,25
2023-09-12T10:46:07,1457.6,68,19923.93,32.749,93,25
2023-09-12T10:46:08,1457.6,69,19933.2,33.354,95,25
2023-09-12T10:46:09,1457.6,70,19942.63,33.894,93,26
2023-09-12T10:46:10,1457.6,71,19952.18,34.43,90,26
2023-09-12T10:46:11,1457.6,66,19961.84,34.733,94,26
2023-09-12T10:46:12,1457.4,57,19971.63,35.305,101,26
2023-09-12T10:46:13,1457.4,58,19981.54,35.64,117,26
2023-09-12T10:46:14,1457.4,58,19991.52,35.942,119,26
2023-09-12T10:46:15,1457.4,59,20001.71,36.68,101,26
2023-09-12T10:46:16,1457.4,60,20012.05,37.184,84,26
2023-09-12T10:46:17,1457.4,61,20022.43,37.418,87,26
2023-09-12T10:46:18,1457.4,61,20032.96,37.858,88,26
2023-09-12T10:46:19,1457.4,62,20043.53,38.092,105,26
2023-09-12T10:46:20,1457.4,63,20054.34,38.898,127,26
2023-09-12T10:46:21,1457.4,63,20065.21,39.168,123,26
2023-09-12T10:46:22,1457.4,64,20076.17,39.434,109,26
2023-09-12T10:46:23,1457.4,64,20087.24,39.874,90,26
2023-09-12T10:46:24,1457.4,65,20098.45,40.309,90,26
2023-09-12T10:46:25,1457.4,65,20109.76,40.777,91,26
2023-09-12T10:46:26,1457.2,66,20121.17,41.08,95,26
2023-09-12T10:46:27,1457.2,67,20132.68,41.418,112,26
2023-09-12T10:46:28,1457.2,67,20144.25,41.519,113,26
2023-09-12T10:46:29,1457.2,68,20155.9,42.023,117,26
2023-09-12T10:46:30,1457.2,69,20167.62,42.257,111,26
2023-09-12T10:46:31,1457.2,69,20179.43,42.491,112,26
2023-09-12T10:46:32,1457.2,70,20191.34,42.862,103,26
2023-09-12T10:46:33,1457,70,20203.36,43.196,92,26
2023-09-12T10:46:34,1457,70,20215.42,43.535,101,26
2023-09-12T10:46:35,1457,71,20227.64,43.97,93,26
2023-09-12T10:46:36,1457,71,20239.91,44.172,90,26
2023-09-12T10:46:37,1457,72,20252.22,44.341,88,26
2023-09-12T10:46:38,1457,72,20264.64,44.708,85,26
2023-09-12T10:46:39,1457,73,20277.18,45.079,90,26
2023-09-12T10:46:40,1457,73,20289.7,45.079,88,26
2023-09-12T10:46:41,1456.8,74,20302.24,45.18,96,26
2023-09-12T10:46:42,1456.8,74,20314.92,45.648,84,26
2023-09-12T10:46:43,1456.8,74,20327.6,45.648,82,26
2023-09-12T10:46:44,1456.8,75,20340.33,45.85,81,26
2023-09-12T10:46:45,1456.8,75,20353.14,46.051,84,26
2023-09-12T10:46:46,1456.8,75,20365.92,46.051,83,26
2023-09-12T10:46:47,1456.8,75,20378.77,46.253,77,26
2023-09-12T10:46:48,1456.6,76,20391.72,46.591,75,26
