timestamp,altitude,cadence,distance,speed,power
2023-09-15T10:40:22,1461,49,46.14,26.672,268
2023-09-15T10:40:23,1461,52,53.91,28.015,274
2023-09-15T10:40:24,1461.4,55,62.03,29.225,244
2023-09-15T10:40:25,1461.2,57,70.51,30.535,263
2023-09-15T10:40:26,1461.6,60,79.4,31.943,286
2023-09-15T10:40:27,1461.8,63,88.69,33.491,311
2023-09-15T10:40:28,1462,65,98.23,34.362,322
2023-09-15T10:40:29,1462,69,108.13,35.608,317
2023-09-15T10:40:30,1462.2,72,118.35,36.814,321
2023-09-15T10:40:31,1462.2,74,128.95,38.124,332
2023-09-15T10:40:32,1462.2,76,139.83,39.2,322
2023-09-15T10:40:33,1462.4,79,151.09,40.543,306
2023-09-15T10:40:34,1462.4,81,162.61,41.45,294
2023-09-15T10:40:35,1462.8,83,174.43,42.527,246
2023-09-15T10:40:36,1462.8,83,186.42,43.196,244
2023-09-15T10:40:37,1463.2,76,198.71,44.24,277
2023-09-15T10:40:38,1463.4,77,211.26,45.18,266
2023-09-15T10:40:39,1463.4,79,224.04,46.019,251
2023-09-15T10:40:40,1463.4,81,237.08,46.926,265
2023-09-15T10:40:41,1463.6,82,250.34,47.765,264
2023-09-15T10:40:42,1463.6,83,263.7,48.067,243
2023-09-15T10:40:43,1463.6,84,277.26,48.841,244
2023-09-15T10:40:44,1463.6,86,291.03,49.511,265
2023-09-15T10:40:45,1463.6,84,304.99,50.317,246
2023-09-15T10:40:46,1463.8,79,319.23,51.26,269
2023-09-15T10:40:47,1463.8,80,333.7,52.031,281
2023-09-15T10:40:48,1463.8,81,348.36,52.837,287
2023-09-15T10:40:49,1463.8,82,363.28,53.712,271
2023-09-15T10:40:50,1463.8,84,378.43,54.551,281
2023-09-15T10:40:51,1463.8,85,393.66,54.821,285
2023-09-15T10:40:52,1463.8,86,409.19,55.861,290
2023-09-15T10:40:53,1463.8,87,424.75,56.063,286
2023-09-15T10:40:54,1463.8,88,440.58,56.97,269
2023-09-15T10:40:55,1463.8,89,456.54,57.474,256
2023-09-15T10:40:56,1463.8,90,472.64,57.942,251
2023-09-15T10:40:57,1463.8,91,488.96,58.716,251
2023-09-15T10:40:58,1464,92,505.43,59.321,246
2023-09-15T10:40:59,1464,93,522.02,59.756,230
2023-09-15T10:41:00,1464,93,538.75,60.196,223
2023-09-15T10:41:01,1464.4,94,555.6,60.664,198
