timestamp,altitude,cadence,distance,speed,power,temperature
2023-09-12T18:45:03,1447.8,42,5325.66,23.245,43,28
2023-09-12T18:45:04,1447.8,49,5332.28,23.814,64,28
2023-09-12T18:45:05,1447.8,49,5338.99,24.152,62,28
2023-09-12T18:45:06,1447.8,50,5345.83,24.62,62,28
2023-09-12T18:45:07,1448,51,5352.73,24.858,94,28
2023-09-12T18:45:08,1448,52,5359.84,25.564,106,28
2023-09-12T18:45:09,1448,54,5367.09,26.1,104,28
2023-09-12T18:45:10,1448,55,5374.63,27.108,136,28
2023-09-12T18:45:11,1448,57,5382.33,27.778,144,28
2023-09-12T18:45:12,1448.2,58,5390.22,28.382,140,28
2023-09-12T18:45:13,1448.2,60,5398.3,29.124,133,28
2023-09-12T18:45:14,1448.2,61,5406.57,29.761,134,29
2023-09-12T18:45:15,1448.2,63,5414.94,30.132,148,29
2023-09-12T18:45:16,1448.2,64,5423.57,31.039,119,29
2023-09-12T18:45:17,1448.2,65,5432.28,31.406,98,29
2023-09-12T18:45:18,1448.2,66,5441.15,31.943,111,29
2023-09-12T18:45:19,1448.2,67,5450.17,32.414,118,29
2023-09-12T18:45:20,1448.2,68,5459.29,32.886,98,29
2023-09-12T18:45:21,1448.2,70,5468.61,33.523,115,29
2023-09-12T18:45:22,1448.2,71,5478.11,34.229,113,29
2023-09-12T18:45:23,1448.2,72,5487.81,34.902,104,29
2023-09-12T18:45:24,1448.2,73,5497.62,35.338,107,29
2023-09-12T18:45:25,1448.2,63,5507.6,35.91,104,29
2023-09-12T18:45:26,1448.2,58,5517.68,36.277,117,29
2023-09-12T18:45:27,1448.2,59,5527.92,36.882,116,29
2023-09-12T18:45:28,1448.2,60,5538.34,37.519,126,29
2023-09-12T18:45:29,1448.2,61,5548.95,38.192,130,29
2023-09-12T18:45:30,1448.2,62,5559.66,38.563,119,29
2023-09-12T18:45:31,1448.2,62,5570.41,38.696,122,29
2023-09-12T18:45:32,1448.2,63,5581.36,39.402,122,29
2023-09-12T18:45:33,1448.2,64,5592.42,39.838,126,29
2023-09-12T18:45:34,1448.2,65,5603.7,40.576,125,29
2023-09-12T18:45:35,1448,66,5615.03,40.813,114,29
2023-09-12T18:45:36,1448,67,5626.47,41.18,123,29
2023-09-12T18:45:37,1448,67,5638.04,41.652,133,29
2023-09-12T18:45:38,1448,68,5649.87,42.592,129,29
2023-09-12T18:45:39,1448,69,5661.8,42.93,119,29
2023-09-12T18:45:40,1448,69,5673.87,43.466,127,29
2023-09-12T18:45:41,1448,70,5686.05,43.801,122,29
2023-09-12T18:45:42,1448,71,5698.31,44.172,120,29
2023-09-12T18:45:43,1448,72,5710.74,44.708,125,29
2023-09-12T18:45:44,1448,72,5723.09,44.507,114,29
2023-09-12T18:45:45,1447.8,74,5735.61,45.079,112,29
2023-09-12T18:45:46,1447.8,73,5748.24,45.446,116,29
2023-09-12T18:45:47,1447.6,74,5760.93,45.648,129,29
2023-09-12T18:45:48,1447.6,75,5773.72,46.051,130,29
2023-09-12T18:45:49,1447.6,75,5786.61,46.454,119,29
2023-09-12T18:45:50,1447.6,76,5799.57,46.656,118,29
2023-09-12T18:45:51,1447.6,76,5812.66,47.095,115,29
2023-09-12T18:45:52,1447.6,77,5825.8,47.329,110,29
2023-09-12T18:45:53,1447.6,77,5839.06,47.732,112,29
2023-09-12T18:45:54,1447.6,78,5852.42,48.035,112,29
2023-09-12T18:45:55,1447.6,78,5865.85,48.37,107,29
2023-09-12T18:45:56,1447.4,79,5879.33,48.571,82,29
2023-09-12T18:45:57,1447.4,79,5892.94,48.974,95,29
2023-09-12T18:45:58,1447.4,79,5906.57,49.075,108,29
2023-09-12T18:45:59,1447.4,80,5920.24,49.208,107,29
2023-09-12T18:46:00,1447.4,70,5933.97,49.446,107,29
2023-09-12T18:46:01,1447.2,70,5947.84,49.882,101,29
2023-09-12T18:46:02,1447.2,70,5961.75,50.116,103,29
2023-09-12T18:46:03,1447.2,71,5975.61,49.882,103,29
2023-09-12T18:46:04,1447.2,71,5989.56,50.184,116,29
2023-09-12T18:46:05,1447.2,72,6003.6,50.587,105,29
2023-09-12T18:46:06,1447,72,6017.65,50.587,105,29
2023-09-12T18:46:07,1447,72,6031.86,51.16,112,29
