timestamp,altitude,heart_rate,cadence,distance,speed,power,temperature
2023-09-12T09:08:15,1474,125,,0,0,,21
2023-09-12T09:08:16,1474,123,,0,0,,21
2023-09-12T09:12:02,1474,110,,0.29,0,,23
2023-09-12T09:12:03,1474,107,,0.69,0,,23
2023-09-12T09:13:47,1474.2,118,,0.69,7.556,,23
2023-09-12T09:13:49,1474.2,120,,8.61,13.536,,23
2023-09-12T09:13:51,1474.2,124,,21.89,20.153,,23
2023-09-12T09:13:52,1474.2,127,,28.67,21.701,,23
2023-09-12T09:13:53,1474.2,127,,35.55,23.076,,23
2023-09-12T09:13:55,1474.2,132,,50.68,26.068,,23
2023-09-12T09:13:58,1474.6,137,,75.56,31.172,,23
2023-09-12T09:14:00,1474.6,142,,92.94,32.85,,23
2023-09-12T09:14:03,1474.8,146,,120.23,34.834,,23
2023-09-12T09:14:05,1474.8,151,,140.54,36.914,,23
2023-09-12T09:14:07,1474.8,154,,160.17,37.757,,23
2023-09-12T09:14:09,1474.8,157,,180.69,39.031,,23
2023-09-12T09:14:13,1474.8,158,,222.43,40.039,,23
2023-09-12T09:14:19,1474.8,159,,286.59,38.664,,23
2023-09-12T09:14:21,1474.8,160,,310.26,39.604,,23
2023-09-12T09:14:27,1474.6,161,,378.47,41.08,,23
2023-09-12T09:14:30,1474.6,161,,414.86,42.66,,23
2023-09-12T09:14:35,1474.4,162,,477,43.567,,23
2023-09-12T09:14:38,1474.4,163,,515.46,45.281,,23
2023-09-12T09:14:43,1474.4,165,,579.58,44.878,,23
2023-09-12T09:14:46,1474.4,166,,619.29,45.85,,23
2023-09-12T09:14:51,1474,167,,686.07,47.027,,23
2023-09-12T09:14:53,1474,167,,714.1,47.398,,23
2023-09-12T09:14:58,1473.8,168,,783.71,50.083,,23
2023-09-12T09:15:00,1473.8,168,,813.21,49.547,,23
2023-09-12T09:15:05,1473.6,169,,885.7,50.688,,23
2023-09-12T09:15:07,1473.6,169,,915.16,50.857,,23
2023-09-12T09:15:12,1473.2,169,,986.01,50.857,,23
2023-09-12T09:15:14,1473.2,169,,1013.64,48.269,,23
2023-09-12T09:15:16,1473,169,,1043.46,50.688,,23
2023-09-12T09:15:20,1472.6,170,,1103.87,50.857,,23
2023-09-12T09:15:24,1472.4,170,,1166.86,53.006,,23
2023-09-12T09:15:27,1472.2,170,,1214.99,54.518,,23
2023-09-12T09:15:31,1472,170,,1275.51,53.41,,23
2023-09-12T09:15:33,1472,170,,1307.9,53.442,,23
2023-09-12T09:15:35,1472,171,,1341,53.071,,23
2023-09-12T09:15:39,1471.8,171,,1401.91,53.644,,23
2023-09-12T09:15:41,1471.8,171,,1433.1,53.978,,23
2023-09-12T09:15:45,1471.4,171,,1497.49,55.256,,23
2023-09-12T09:15:48,1471.4,171,,1545.8,55.861,,23
2023-09-12T09:15:52,1471,172,,1611.81,56.398,,22
2023-09-12T09:15:55,1471,172,,1658.3,55.289,,22
2023-09-12T09:15:56,1471,172,,1675.79,55.962,,22
2023-09-12T09:16:00,1470.6,171,,1745.38,57.575,,22
2023-09-12T09:16:03,1470.4,172,,1798.18,57.506,,22
2023-09-12T09:16:07,1470.2,172,,1867.25,58.345,,22
2023-09-12T09:16:09,1470,172,,1899.42,57.64,,22
2023-09-12T09:16:11,1469.8,172,,1933.31,59.756,,22
2023-09-12T09:16:14,1469.8,173,,1980.85,57.172,,22
2023-09-12T09:16:18,1469.2,173,,2042.56,57.002,,22
2023-09-12T09:16:20,1468.8,173,,2075.51,58.615,,22
2023-09-12T09:16:24,1468.2,173,,2139.67,57.575,,22
2023-09-12T09:16:28,1468.2,174,,2207.62,59.087,,22
2023-09-12T09:16:31,1467.8,174,,2258.72,58.313,,22
2023-09-12T09:16:35,1467.4,174,,2326.31,60.026,,22
2023-09-12T09:16:39,1467,174,,2391.93,57.91,,22
2023-09-12T09:16:41,1467,174,,2425.51,57.406,,22
2023-09-12T09:16:45,1466.8,173,,2492.96,59.188,,22
2023-09-12T09:16:47,1466.4,173,,2529.26,58.547,,22
2023-09-12T09:16:50,1466,173,,2593.08,60.26,,22
2023-09-12T09:16:52,1465.6,173,,2627.84,61.034,,22
2023-09-12T09:16:54,1465.4,173,,2665.8,60.095,,22
2023-09-12T09:16:58,1464.8,173,,2734.24,60.196,,22
2023-09-12T09:17:00,1464.6,173,,2769.09,60.296,,22
2023-09-12T09:17:03,1464.4,173,,2825.09,61.873,,22
2023-09-12T09:17:06,1464.2,173,,2876.11,60.664,,22
2023-09-12T09:17:10,1463.8,172,,2947.32,61.906,,22
2023-09-12T09:17:11,1463.6,172,,2964.96,61.906,,22
2023-09-12T09:17:13,1463.4,172,,3000.94,64.058,,22
2023-09-12T09:17:16,1462.8,171,,3055.43,62.446,,22
2023-09-12T09:17:20,1462.2,171,,3124.73,63.083,,22
2023-09-12T09:17:24,1461.6,171,,3193.21,61.672,,22
2023-09-12T09:17:28,1461.2,172,,3262.04,61.236,,22
2023-09-12T09:17:30,1461,172,,3296.64,61.639,,22
2023-09-12T09:17:34,1460.2,173,,3370.19,61.47,,22
2023-09-12T09:17:35,1460.2,172,,3388.37,62.813,,22
2023-09-12T09:17:36,1460,172,,3406.76,62.579,,22
2023-09-12T09:17:40,1459.6,172,,3480.48,63.353,,22
2023-09-12T09:17:43,1459.2,173,,3534.16,62.546,,22
2023-09-12T09:17:44,1459,173,,3552.14,62.647,,22
2023-09-12T09:17:48,1458.2,172,,3628.02,62.446,,22
2023-09-12T09:17:49,1458,172,,3646.13,62.611,,22
2023-09-12T09:17:50,1457.8,172,,3664.82,64.393,,22
2023-09-12T09:17:54,1457.4,173,,3741.55,65.603,,22
2023-09-12T09:17:55,1457.2,173,,3760.18,64.462,,22
2023-09-12T09:17:57,1456.8,173,,3798.13,65.768,,22
2023-09-12T09:18:01,1456.4,173,,3873.36,66.208,,22
2023-09-12T09:18:02,1456.2,173,,3891.69,64.26,,22
2023-09-12T09:18:06,1456.2,173,,3968.61,66.51,,22
2023-09-12T09:18:07,1456,173,,3987.62,66.978,,22
2023-09-12T09:18:08,1456,173,,4005,66.676,,22
2023-09-12T09:18:12,1455.6,173,,4077.02,66.474,,22
2023-09-12T09:18:14,1455.2,173,,4113.55,65.434,,22
2023-09-12T09:18:15,1455,174,,4131.72,65.603,,22
2023-09-12T09:18:19,1454.6,174,,4206,65.938,,22
2023-09-12T09:18:23,1454.2,174,,4281.18,66.107,,22
2023-09-12T09:18:25,1454,174,,4319.29,65.57,,22
2023-09-12T09:18:26,1453.8,174,,4337.62,65.837,,22
2023-09-12T09:18:30,1453,174,,4408.72,64.494,,22
2023-09-12T09:18:31,1452.8,174,,4427.18,65.066,,22
2023-09-12T09:18:35,1452.6,174,,4499.88,63.958,,22
2023-09-12T09:18:36,1452.4,174,,4517.1,62.95,,22
2023-09-12T09:18:39,1451.8,173,,4573.4,63.688,,22
2023-09-12T09:18:42,1451.4,173,,4633.84,65.268,,22
2023-09-12T09:18:46,1451,173,,4709.85,65.2,,22
2023-09-12T09:18:48,1450.8,173,,4746.23,64.764,,22
2023-09-12T09:18:49,1450.8,173,,4764.67,65.97,,22
2023-09-12T09:18:53,1450.2,174,,4838.32,64.865,,22
